"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2017","244.98","241.18","245.91","238.15","33.54M","-0.71%"
"Mar 24, 2017","246.74","252.81","253.68","245.31","27.79M","-2.18%"
"Mar 23, 2017","252.23","254.62","257.51","250.35","29.39M","-0.98%"
"Mar 22, 2017","254.73","252.22","256.10","250.69","28.76M","1.49%"
"Mar 21, 2017","250.99","265.09","265.51","250.69","35.73M","-5.15%"
"Mar 20, 2017","264.61","265.49","265.70","262.00","19.32M","-0.51%"
"Mar 17, 2017","265.97","266.10","271.56","265.24","34.29M","0.36%"
"Mar 16, 2017","265.02","270.25","271.53","264.36","31.43M","0.55%"
"Mar 15, 2017","263.56","256.28","264.11","255.10","28.67M","3.83%"
"Mar 14, 2017","253.85","251.33","254.36","249.30","20.55M","0.27%"
"Mar 13, 2017","253.17","254.23","255.07","251.73","22.26M","0.94%"
"Mar 10, 2017","250.81","252.95","255.64","249.84","26.70M","-0.27%"
"Mar 09, 2017","251.50","252.80","256.65","249.98","26.38M","-1.02%"
"Mar 08, 2017","254.10","254.38","256.60","252.92","27.99M","-0.02%"
"Mar 07, 2017","254.16","262.22","263.94","254.00","22.87M","-3.28%"
"Mar 06, 2017","262.79","260.88","263.61","259.43","20.59M","-0.54%"
"Mar 03, 2017","264.23","264.45","266.39","261.69","25.72M","0.07%"
"Mar 02, 2017","264.04","272.60","272.82","263.83","28.92M","-3.62%"
"Mar 01, 2017","273.96","272.79","276.90","272.55","35.57M","2.72%"
"Feb 28, 2017","266.71","267.35","270.89","265.34","30.34M","-0.23%"
"Feb 27, 2017","267.32","260.69","269.31","260.32","31.36M","2.69%"
"Feb 24, 2017","260.32","257.46","262.86","256.34","29.59M","-0.13%"
"Feb 23, 2017","260.65","274.89","275.44","258.61","48.48M","-4.46%"
"Feb 22, 2017","272.81","275.09","275.09","271.54","24.91M","-1.63%"
"Feb 21, 2017","277.33","275.27","278.19","275.27","27.94M","1.52%"
"Feb 17, 2017","273.18","272.61","274.66","270.53","22.60M","-0.14%"
"Feb 16, 2017","273.57","274.28","276.67","270.53","24.28M","-0.20%"
"Feb 15, 2017","274.13","271.86","276.73","271.66","31.78M","0.78%"
"Feb 14, 2017","272.00","272.61","272.92","268.99","25.09M","-0.67%"
"Feb 13, 2017","273.83","270.75","275.49","269.94","40.56M","3.52%"
"Feb 10, 2017","264.53","266.81","267.82","263.94","30.69M","0.04%"
"Feb 09, 2017","264.42","253.50","264.47","253.31","48.69M","4.80%"
"Feb 08, 2017","252.30","249.53","252.31","247.99","23.62M","1.01%"
"Feb 07, 2017","249.78","253.85","255.68","249.30","26.85M","-0.76%"
"Feb 06, 2017","251.69","251.37","253.78","250.77","24.59M","0.49%"
"Feb 03, 2017","250.46","250.55","251.35","246.89","29.64M","-0.40%"
"Feb 02, 2017","251.46","245.99","251.66","245.99","49.94M","2.63%"
"Feb 01, 2017","245.02","251.48","254.26","241.65","43.73M","-1.48%"
"Jan 31, 2017","248.70","254.09","254.09","244.92","40.30M","-2.21%"
"Jan 30, 2017","254.33","256.63","256.63","249.22","31.39M","-1.83%"
"Jan 27, 2017","259.06","258.15","260.53","256.12","28.58M","0.52%"
"Jan 26, 2017","257.72","251.79","258.23","251.13","44.28M","2.10%"
"Jan 25, 2017","252.43","256.52","257.52","248.85","57.59M","-2.30%"
"Jan 24, 2017","258.37","256.96","261.43","256.24","60.88M","3.00%"
"Jan 23, 2017","250.85","255.34","255.47","248.18","26.43M","-1.08%"
"Jan 20, 2017","253.58","252.58","254.77","251.09","28.18M","0.88%"
"Jan 19, 2017","251.37","258.24","258.71","249.40","30.12M","-3.46%"
"Jan 18, 2017","260.37","250.80","260.62","249.88","47.54M","4.08%"
"Jan 17, 2017","250.17","251.43","252.97","248.61","24.64M","-0.77%"
"Jan 13, 2017","252.11","252.62","256.32","251.01","23.80M","-0.09%"
"Jan 12, 2017","252.34","254.89","255.12","249.75","35.45M","-2.36%"
"Jan 11, 2017","258.45","259.60","260.45","256.08","26.83M","-0.25%"
"Jan 10, 2017","259.11","254.81","259.56","253.63","30.92M","3.24%"
"Jan 09, 2017","250.99","257.89","259.14","250.64","29.52M","-2.05%"
"Jan 06, 2017","256.24","261.01","263.33","256.16","23.62M","-1.88%"
"Jan 05, 2017","261.14","262.77","266.48","259.59","27.06M","-0.81%"
"Jan 04, 2017","263.26","253.90","263.33","252.75","32.73M","3.89%"
"Jan 03, 2017","253.41","251.88","257.23","250.31","25.47M","1.33%"
"Dec 30, 2016","250.08","256.50","257.54","249.69","22.82M","-2.38%"
"Dec 29, 2016","256.17","256.89","258.62","253.73","15.71M","-0.21%"
"Dec 28, 2016","256.72","262.69","264.69","256.43","15.85M","-1.85%"
"Dec 27, 2016","261.57","261.47","262.77","260.64","12.12M","0.71%"
"Dec 23, 2016","259.72","260.21","260.56","258.13","11.19M","-0.25%"
"Dec 22, 2016","260.38","263.65","264.77","259.87","19.24M","-1.43%"
"Dec 21, 2016","264.17","264.80","266.85","261.13","22.11M","-0.21%"
"Dec 20, 2016","264.72","257.36","265.45","257.03","30.07M","2.49%"
"Dec 19, 2016","258.30","256.56","260.56","255.56","22.52M","-0.19%"
"Dec 16, 2016","258.79","264.84","266.34","258.36","40.52M","-2.64%"
"Dec 15, 2016","265.82","259.72","267.02","257.74","32.15M","0.42%"
"Dec 14, 2016","264.72","264.14","270.91","263.83","30.64M","-0.15%"
"Dec 13, 2016","265.13","268.45","270.15","262.68","32.97M","-0.87%"
"Dec 12, 2016","267.45","273.65","273.79","266.27","29.83M","-1.99%"
"Dec 09, 2016","272.89","278.01","278.27","271.21","31.97M","-2.12%"
"Dec 08, 2016","278.81","281.50","284.51","278.42","41.86M","-0.16%"
"Dec 07, 2016","279.27","275.98","280.65","275.18","37.58M","1.80%"
"Dec 06, 2016","274.33","270.50","274.49","268.46","34.76M","1.05%"
"Dec 05, 2016","271.47","265.85","271.62","265.85","32.42M","3.55%"
"Dec 02, 2016","262.16","257.83","262.18","256.81","6.94M","1.57%"
"Dec 01, 2016","258.10","258.92","260.01","257.05","5.98M","0.22%"
"Nov 30, 2016","257.53","257.86","261.88","256.21","7.57M","0.94%"
"Nov 29, 2016","255.14","253.87","257.23","250.45","9.04M","-1.45%"
"Nov 28, 2016","258.89","262.35","262.66","257.42","7.44M","-1.54%"
"Nov 25, 2016","262.94","262.44","263.69","260.71","3.32M","0.32%"
"Nov 23, 2016","262.10","258.32","262.18","256.21","8.17M","0.78%"
"Nov 22, 2016","260.07","248.63","260.50","248.63","9.65M","5.43%"
"Nov 21, 2016","246.68","245.16","246.74","243.31","5.80M","1.43%"
"Nov 18, 2016","243.21","244.49","245.27","242.41","6.86M","-0.78%"
"Nov 17, 2016","245.11","246.11","246.84","244.72","6.46M","-0.24%"
"Nov 16, 2016","245.71","245.89","246.52","243.36","7.11M","-0.91%"
"Nov 15, 2016","247.97","242.13","248.03","240.83","9.89M","0.72%"
"Nov 14, 2016","246.20","241.25","246.98","241.25","10.94M","2.87%"
"Nov 11, 2016","239.32","238.51","239.91","233.22","10.18M","0.61%"
"Nov 10, 2016","237.86","234.82","239.55","232.92","12.79M","2.22%"
"Nov 09, 2016","232.69","208.34","234.75","208.34","16.78M","11.69%"
"Nov 08, 2016","208.34","205.62","209.99","205.58","6.88M","0.52%"
"Nov 07, 2016","207.27","204.38","207.97","204.38","7.35M","2.63%"
"Nov 04, 2016","201.96","197.81","204.19","197.53","8.52M","2.13%"
"Nov 03, 2016","197.74","194.01","198.75","194.01","8.35M","2.10%"
"Nov 02, 2016","193.68","194.11","197.74","192.49","9.06M","-0.56%"
"Nov 01, 2016","194.77","199.45","201.12","193.08","8.54M","-2.01%"
"Oct 31, 2016","198.77","195.83","199.16","195.11","7.38M","1.94%"
"Oct 28, 2016","194.98","193.45","197.61","193.24","8.62M","0.63%"
"Oct 27, 2016","193.76","197.88","197.88","193.03","8.06M","-2.29%"
"Oct 26, 2016","198.30","197.50","199.32","196.47","7.13M","0.55%"
"Oct 25, 2016","197.22","201.39","203.18","197.00","9.96M","-1.44%"
"Oct 24, 2016","200.10","202.79","203.59","199.78","5.75M","-0.33%"
"Oct 21, 2016","200.77","200.75","202.84","197.74","9.41M","-0.74%"
"Oct 20, 2016","202.27","195.28","202.72","190.45","12.72M","1.10%"
"Oct 19, 2016","200.07","195.88","200.54","195.75","8.02M","2.95%"
"Oct 18, 2016","194.34","194.61","195.72","192.01","5.63M","0.94%"
"Oct 17, 2016","192.53","191.60","194.66","191.46","5.16M","0.83%"
"Oct 14, 2016","190.94","192.13","193.29","190.49","4.58M","0.22%"
"Oct 13, 2016","190.53","192.39","192.39","187.83","6.52M","-2.33%"
"Oct 12, 2016","195.07","194.88","195.97","193.78","4.23M","0.11%"
"Oct 11, 2016","194.85","196.68","197.45","193.95","5.45M","-1.56%"
"Oct 10, 2016","197.93","197.49","200.53","197.49","4.31M","0.95%"
"Oct 07, 2016","196.06","198.99","199.57","193.29","6.09M","-0.82%"
"Oct 06, 2016","197.68","195.94","198.67","195.82","5.60M","0.15%"
"Oct 05, 2016","197.39","196.32","197.90","194.96","5.62M","1.42%"
"Oct 04, 2016","194.62","199.09","199.15","194.47","6.82M","-2.73%"
"Oct 03, 2016","200.09","203.05","203.09","198.90","5.47M","-1.38%"
"Sep 30, 2016","202.90","202.48","204.37","200.31","8.01M","0.54%"
"Sep 29, 2016","201.82","205.23","207.29","200.59","7.59M","-2.03%"
"Sep 28, 2016","206.00","202.26","206.17","201.51","7.10M","2.16%"
"Sep 27, 2016","201.64","199.18","201.66","198.15","6.46M","0.58%"
"Sep 26, 2016","200.48","199.51","201.39","198.69","6.20M","0.29%"
"Sep 23, 2016","199.90","197.15","201.01","196.93","6.91M","1.23%"
"Sep 22, 2016","197.48","198.36","200.98","197.14","8.18M","0.62%"
"Sep 21, 2016","196.26","189.92","196.43","189.92","8.92M","3.70%"
"Sep 20, 2016","189.25","188.93","189.98","188.16","6.61M","0.14%"
"Sep 19, 2016","188.98","187.34","190.51","187.34","7.93M","1.87%"
"Sep 16, 2016","185.52","185.47","186.92","184.44","9.15M","-0.23%"
"Sep 15, 2016","185.95","183.89","186.59","182.90","6.22M","0.90%"
"Sep 14, 2016","184.29","184.81","185.20","182.01","7.79M","-0.74%"
"Sep 13, 2016","185.67","191.14","191.14","183.87","8.55M","-3.89%"
"Sep 12, 2016","193.18","187.94","193.84","187.22","8.37M","1.59%"
"Sep 09, 2016","190.15","197.72","197.72","190.06","8.82M","-4.86%"
"Sep 08, 2016","199.86","202.50","202.50","199.62","5.75M","-1.59%"
"Sep 07, 2016","203.09","201.23","203.09","200.29","5.95M","0.46%"
"Sep 06, 2016","202.16","199.19","202.18","197.41","6.07M","1.97%"
"Sep 02, 2016","198.25","201.89","203.55","197.13","5.83M","-0.60%"
"Sep 01, 2016","199.45","198.37","200.16","196.36","5.80M","0.78%"
"Aug 31, 2016","197.90","197.39","198.48","196.12","8.16M","-0.34%"
"Aug 30, 2016","198.57","201.79","201.88","197.82","5.32M","-1.96%"
"Aug 29, 2016","202.54","198.50","202.88","198.34","4.30M","2.02%"
"Aug 26, 2016","198.52","200.11","204.03","197.92","7.15M","-0.34%"
"Aug 25, 2016","199.20","198.93","201.39","198.52","5.63M","0.08%"
"Aug 24, 2016","199.05","203.83","203.83","198.77","5.45M","-2.65%"
"Aug 23, 2016","204.47","205.67","208.04","204.43","5.40M","0.03%"
"Aug 22, 2016","204.41","201.90","204.44","201.01","5.16M","1.05%"
"Aug 19, 2016","202.28","206.02","206.02","201.47","7.09M","-2.64%"
"Aug 18, 2016","207.76","206.29","207.78","204.92","4.76M","1.00%"
"Aug 17, 2016","205.70","205.95","206.66","204.04","4.65M","-0.25%"
"Aug 16, 2016","206.21","210.07","210.68","206.19","4.87M","-1.57%"
"Aug 15, 2016","209.49","205.43","210.65","205.39","6.67M","2.46%"
"Aug 12, 2016","204.46","210.74","210.74","204.24","6.99M","-3.04%"
"Aug 11, 2016","210.86","210.63","211.47","208.89","6.55M","0.11%"
"Aug 10, 2016","210.63","213.28","213.52","210.53","10.85M","-1.09%"
"Aug 09, 2016","212.96","216.03","216.03","212.73","6.67M","-1.77%"
"Aug 08, 2016","216.79","217.70","218.40","215.42","4.04M","-0.33%"
"Aug 05, 2016","217.50","216.19","217.59","216.19","4.62M","0.63%"
"Aug 04, 2016","216.14","218.05","218.05","214.68","4.55M","-0.89%"
"Aug 03, 2016","218.08","215.20","218.29","214.26","4.94M","0.99%"
"Aug 02, 2016","215.94","218.06","218.23","214.05","5.99M","-0.95%"
"Aug 01, 2016","218.01","220.60","220.60","216.36","6.05M","-1.18%"
"Jul 29, 2016","220.61","220.76","222.19","218.58","7.45M","-0.05%"
"Jul 28, 2016","220.72","218.58","221.15","216.24","7.67M","1.03%"
"Jul 27, 2016","218.47","217.85","222.33","216.65","12.75M","0.45%"
"Jul 26, 2016","217.50","209.46","217.93","209.36","9.13M","3.72%"
"Jul 25, 2016","209.69","210.61","211.90","208.32","5.32M","-0.50%"
"Jul 22, 2016","210.74","208.87","210.87","208.10","5.01M","0.85%"
